Epoch,Training Accuracy,Evaluation Accuracy
1,95.57%,32.78%
2,95.43%,42.29%
3,94.89%,29.02%
4,94.46%,99.51%
5,94.71%,99.51%
6,95.13%,99.51%
7,95.44%,99.51%
8,95.55%,99.51%
9,95.63%,99.51%
10,95.74%,99.51%
11,95.74%,99.51%
12,95.97%,99.51%
13,96.01%,99.51%
14,95.96%,99.51%
15,95.98%,99.51%
16,95.92%,99.51%
17,95.99%,99.51%
18,96.09%,99.51%
19,96.04%,99.51%
20,96.02%,99.51%
21,95.99%,99.51%
22,96.02%,99.51%
23,95.93%,99.51%
24,95.73%,99.51%
25,95.97%,99.51%
26,95.88%,99.51%
27,95.88%,99.51%
28,96.04%,99.51%
29,96.01%,99.51%
30,96.16%,99.51%
31,96.06%,99.51%
32,96.10%,99.51%
33,95.97%,99.51%
34,95.76%,99.51%
35,95.98%,99.51%
36,96.04%,99.51%
37,95.98%,99.51%
38,95.99%,99.51%
39,96.01%,99.51%
40,96.15%,99.51%
41,96.13%,99.51%
42,95.74%,99.51%
43,95.75%,99.51%
44,95.91%,99.51%
45,95.89%,99.51%
46,96.11%,99.51%
47,96.04%,99.51%
48,95.79%,99.51%
49,95.96%,99.51%
50,95.92%,99.51%
